rep	seed	auc_before	auc_after	aucdiff	p_delong	sens_before_spec0.95	sens_after_spec0.95	thr_before_spec0.95	thr_after_spec0.95	sens_before_spec0.99	sens_after_spec0.99	thr_before_spec0.99	thr_after_spec0.99
38	38	0.922972972972973	0.925	0.00202702702702706	0.911925127194084	0.824324324324324	0.810810810810811	0.723608326934173	0.717544277900999	0.824324324324324	0.810810810810811		
39	39	0.922972972972973	0.915540540540541	-0.00743243243243252	0.727350143389756	0.783783783783784	0.851351351351351	0.742282470303355	0.703881408497289	0.783783783783784	0.851351351351351		
40	40	0.935810810810811	0.918918918918919	-0.0168918918918918	0.428590462969076	0.864864864864865	0.837837837837838	0.687603638187836	0.679157220625767	0.864864864864865	0.824324324324324		
41	41	0.944594594594595	0.895945945945946	-0.0486486486486487	0.0684591048191499	0.810810810810811	0.837837837837838	0.700777115544242	0.719991882674716	0.810810810810811	0.783783783783784		
42	42	0.918243243243243	0.92972972972973	0.0114864864864866	0.563013308847582	0.837837837837838	0.864864864864865	0.697127705111398	0.676145616429743	0.837837837837838	0.797297297297297		
43	43	0.944594594594595	0.921621621621622	-0.022972972972973	0.217554504373607	0.864864864864865	0.837837837837838	0.629112541839048	0.717406550837292	0.864864864864865	0.824324324324324		
44	44	0.935135135135135	0.906081081081081	-0.029054054054054	0.238917716049066	0.837837837837838	0.797297297297297	0.688356630123209	0.734544222726045	0.797297297297297	0.797297297297297		
45	45	0.952027027027027	0.914864864864865	-0.0371621621621625	0.0768517133747032	0.864864864864865	0.864864864864865	0.663617868938975	0.723144890036635	0.824324324324324	0.824324324324324		
46	46	0.932432432432432	0.916216216216216	-0.0162162162162163	0.476746365571414	0.864864864864865	0.864864864864865	0.653563548694696	0.714877457449087	0.810810810810811	0.797297297297297		
47	47	0.941216216216216	0.914189189189189	-0.0270270270270272	0.145368000749645	0.864864864864865	0.824324324324324	0.693376954339954	0.754952876460325	0.851351351351351	0.810810810810811		
48	48	0.952027027027027	0.92027027027027	-0.0317567567567567	0.158918657254543	0.851351351351351	0.851351351351351	0.672721009046213	0.707184628840014	0.824324324324324	0.851351351351351		
49	49	0.932432432432433	0.92027027027027	-0.0121621621621625	0.605885557020086	0.851351351351351	0.851351351351351	0.684262201366314	0.706592849119867	0.837837837837838	0.837837837837838		
50	50	0.926351351351351	0.896621621621621	-0.02972972972973	0.136884990616922	0.851351351351351	0.810810810810811	0.659346570490595	0.738319013560859	0.77027027027027	0.797297297297297		
51	51	0.950675675675676	0.921621621621622	-0.0290540540540541	0.19935710100391	0.878378378378378	0.864864864864865	0.681457362252485	0.689209203857871	0.810810810810811	0.77027027027027		
52	52	0.932432432432432	0.925	-0.00743243243243241	0.702174589367304	0.851351351351351	0.851351351351351	0.681027136186984	0.713417523658945	0.837837837837838	0.824324324324324		
53	53	0.949324324324325	0.928378378378378	-0.0209459459459462	0.261913237726778	0.864864864864865	0.837837837837838	0.66555628863126	0.736544817820806	0.837837837837838	0.77027027027027		
54	54	0.945945945945946	0.922297297297297	-0.0236486486486487	0.249232734741678	0.891891891891892	0.864864864864865	0.623175100605713	0.667822306022854	0.810810810810811	0.810810810810811		
55	55	0.922972972972973	0.927027027027027	0.00405405405405401	0.849019282596484	0.824324324324324	0.878378378378378	0.684438495853317	0.702365022273079	0.797297297297297	0.864864864864865		
56	56	0.957432432432432	0.920945945945946	-0.0364864864864864	0.129860236333534	0.891891891891892	0.864864864864865	0.616336153421006	0.681613644649284	0.837837837837838	0.824324324324324		
57	57	0.921621621621621	0.877027027027027	-0.0445945945945944	0.0433515998716462	0.837837837837838	0.824324324324324	0.7083815731123	0.737545611648992	0.837837837837838	0.810810810810811		
58	58	0.935135135135135	0.922297297297297	-0.0128378378378381	0.539629114547271	0.824324324324324	0.878378378378378	0.736526640572659	0.677758526261584	0.797297297297297	0.851351351351351		
59	59	0.933108108108108	0.928378378378379	-0.00472972972972952	0.782051455010954	0.851351351351351	0.864864864864865	0.65984008450888	0.699303288224366	0.824324324324324	0.851351351351351		
60	60	0.947972972972973	0.916891891891892	-0.0310810810810813	0.116942251024297	0.797297297297297	0.810810810810811	0.742622501862501	0.741029006240225	0.797297297297297	0.756756756756757		
61	61	0.932432432432432	0.914864864864865	-0.0175675675675677	0.388536233953042	0.851351351351351	0.824324324324324	0.680989777538155	0.726884267035483	0.797297297297297	0.797297297297297		
62	62	0.923648648648648	0.915540540540541	-0.00810810810810803	0.721226694533018	0.810810810810811	0.878378378378378	0.732819995640169	0.706080831662544	0.783783783783784	0.783783783783784		
63	63	0.886486486486487	0.89527027027027	0.00878378378378375	0.693144699329699	0.783783783783784	0.783783783783784	0.749455462795384	0.758949939011769	0.72972972972973	0.756756756756757		
64	64	0.936486486486487	0.918918918918919	-0.0175675675675678	0.364124804572922	0.837837837837838	0.837837837837838	0.678840101119566	0.714727755256667	0.783783783783784	0.824324324324324		
65	65	0.958783783783784	0.916891891891892	-0.0418918918918922	0.0828576981281151	0.864864864864865	0.837837837837838	0.642886180831332	0.699354676409145	0.824324324324324	0.77027027027027		
66	66	0.940540540540541	0.895945945945946	-0.0445945945945948	0.0542553074667923	0.824324324324324	0.837837837837838	0.687050067728297	0.71835828251331	0.824324324324324	0.797297297297297		
67	67	0.927702702702703	0.925	-0.00270270270270256	0.876854344730966	0.797297297297297	0.851351351351351	0.717973973801973	0.689978613639811	0.797297297297297	0.783783783783784		
68	68	0.932432432432433	0.913513513513513	-0.0189189189189193	0.346713073831837	0.797297297297297	0.824324324324324	0.725876898239089	0.724775609527015	0.797297297297297	0.783783783783784		
69	69	0.912837837837838	0.912837837837838	-1.11022302462516e-16	1	0.824324324324324	0.837837837837838	0.682214206580417	0.722033498243597	0.72972972972973	0.824324324324324		
70	70	0.945945945945946	0.909459459459459	-0.0364864864864867	0.0904729501026618	0.864864864864865	0.864864864864865	0.664318277215501	0.680045167569758	0.851351351351351	0.810810810810811		
71	71	0.953378378378378	0.921621621621622	-0.0317567567567568	0.0963903866942995	0.837837837837838	0.824324324324324	0.699345444068166	0.70840783756377	0.837837837837838	0.824324324324324		
